25,44,86,1088,128
24,44,90,1118,149
4,41,81,140,1062
4,44,57,1240,151
6,46,97,1138,262
1,46,87,1093,268
2,46,82,1053,266
25,46,78,1166,260
23,46,89,1118,299
1,44,44,1083,151
3,46,77,1163,270
24,46,79,1149,286
21,48,99,1144,408
16,48,91,1119,416
2,48,97,1172,452
5,46,60,1163,281
2,44,30,1069,144
8,48,81,1089,467
9,48,72,1262,417
4,48,77,1256,474
1,48,63,1229,394
19,48,65,1112,414
3,48,73,1094,467
5,48,61,1118,416
25,48,63,1059,441
6,48,54,1147,417
3,44,19,1209,154
22,48,56,1202,454
17,48,50,1239,425
7,48,47,1090,413
21,47,100,1030,1270
8,45,99,1028,1037
29,48,100,1208,1046
26,52,63,1124,665
24,48,39,1207,414
13,46,99,1202,1081
9,42,99,1083,1236
10,47,96,1213,1051
3,41,98,1087,1158
4,43,96,1117,1069
20,48,37,1172,413
9,46,93,1040,1270
14,42,98,1252,1096
12,47,96,1080,1227
5,41,79,1232,900
11,41,94,1074,1154
29,55,94,1186,1075
18,48,41,1182,469
30,48,90,1280,1034
30,41,95,1252,1094
1,41,91,1049,1060
28,50,89,1026,1217
12,48,36,1098,418
25,41,46,536,1026
27,43,91,1229,1076
14,46,97,1149,1213
23,41,86,1027,1047
17,45,99,1277,1183
29,42,100,1200,1237
17,42,96,1212,1157
30,51,88,1079,1061
18,45,90,1178,1088
19,43,92,1175,1117
11,45,89,1207,1084
2,41,96,1173,1259
22,46,24,1123,294
1,47,86,1194,1064
15,43,88,1102,1156
24,52,82,1033,1064
11,44,89,1137,1136
7,43,87,1111,1157
27,52,62,1245,793
12,42,81,1236,1037
27,48,35,1190,457
4,46,22,1238,288
13,41,78,1024,1173
9,44,86,1138,1131
8,42,79,1040,1125
21,43,77,1122,1033
26,56,80,1198,1074
26,41,78,1203,1052
19,41,82,1107,1225
28,41,92,1248,1251
16,45,79,1072,1139
21,41,77,1061,1212
27,54,89,1254,1228
19,44,75,1036,1069
27,46,78,1080,1107
11,48,30,1119,422
28,49,75,1057,1193
2,47,82,1156,1265
