35,67,894,673,97
43,67,910,705,99
32,67,881,637,97
12,67,860,652,96
7,67,984,587,115
36,67,994,707,120
13,67,891,701,114
17,67,920,606,120
47,67,764,654,101
3,67,710,718,98
39,67,861,695,119
41,67,722,677,101
30,67,781,614,117
6,67,720,652,110
9,67,669,653,106
42,67,746,710,120
31,67,653,668,111
46,67,633,718,114
44,67,533,660,98
27,67,580,107,115
45,67,552,709,118
15,67,472,616,115
14,67,431,629,106
2,67,377,637,104
29,67,357,617,103
46,84,835,595,294
34,67,309,602,117
40,67,238,595,96
43,84,737,686,302
20,80,942,593,390
37,84,743,648,316
27,84,237,102,315
33,84,802,679,348
40,84,761,703,335
34,84,649,707,296
45,84,644,682,297
8,67,228,682,106
40,51,925,644,482
28,67,227,691,119
46,51,960,615,514
41,84,608,597,326
42,84,528,677,289
25,51,934,592,512
5,51,878,665,483
17,80,829,610,467
42,51,910,613,515
28,87,994,576,585
43,51,913,580,532
23,93,988,580,713
20,51,902,584,530
25,75,996,586,714
11,66,989,595,583
31,64,980,631,579
23,51,947,677,562
30,86,975,581,705
14,88,969,655,579
44,91,980,589,591
20,83,975,712,587
32,90,957,579,641
28,54,976,592,626
20,56,984,597,710
42,62,948,576,691
28,65,986,678,600
24,59,946,576,608
32,94,983,648,599
32,92,957,584,678
32,84,489,700,300
31,86,948,656,582
25,70,971,715,597
3,52,938,661,577
24,54,985,695,606
34,53,980,606,631
23,84,942,583,657
23,55,973,603,649
36,55,965,599,704
30,54,949,591,720
14,87,925,710,578
13,57,925,682,578
32,66,999,703,625
2,61,922,618,579
33,53,931,585,621
44,58,985,619,713
41,94,996,677,626
41,87,974,613,628
40,96,937,590,622
26,58,921,580,709
15,83,998,629,702
11,63,936,704,590
18,65,915,577,664
43,58,959,611,605
19,51,868,588,548
25,85,989,682,625
26,64,919,581,601
27,76,942,596,697
30,85,968,613,630
19,92,922,584,633
19,85,996,640,631
26,57,939,595,672
9,65,922,700,585
23,86,964,612,643
34,56,921,585,595
31,51,793,632,504
22,77,911,633,579
22,94,949,604,612
38,92,925,592,590
23,69,950,606,667
10,59,912,665,582
25,72,937,599,683
24,68,918,587,713
20,89,946,605,650
2,55,936,710,600
33,67,179,719,115
3,63,949,666,610
32,57,952,680,613
5,65,897,678,578
18,58,904,670,583
25,53,961,674,620
26,95,945,674,610
23,56,926,627,598
10,66,972,628,672
26,73,944,610,629
14,85,917,593,662
24,76,891,577,673
22,59,929,693,602
29,92,950,644,616
34,57,958,640,622
25,61,896,660,582
30,66,906,591,589
12,59,907,590,665
